label,place,nn,nn_place,nn_km
USA_Delaware_Early_Modern_Avery's_Rest_(Mixed_SSA_Profile)_(n=1),"Avery's Rest, Rehoboth Beach, Delaware, USA",Fulani_Guinea_A_(n=17),"Labe, Fouta Djallon, Guinea",6873.0
Samoan_o_(n=1),"Apia, Samoa",Indonesia_Morotai_N-EBA_Tanjung_Pinang_(n=4),"Tanjung Pinang, Morotai, North Maluku, Indonesia",6840.0
Indonesia_Morotai_N-EBA_Tanjung_Pinang_(n=4),"Tanjung Pinang, Morotai, North Maluku, Indonesia",Samoan_o_(n=1),"Apia, Samoa",6840.0
Khamnegan_o_(n=2),"Onon/Argun borderlands, Zabaykalsky Krai / Hulunbuir",Austria_Early_Medieval_Avar_Period_(Avar_Profile)_(n=13),Eastern Austria (Avar period),6673.0
Indonesia_Kayoa_N_Gua_Uattamdi_(n=1),"Uattamdi, Kayoa Island, North Maluku, Indonesia",Tongan_(n=6),"Nuku'alofa, Tonga",6655.0
Maori_(European-Mixed)_(n=2),"Rotorua, New Zealand",Chamorro_(European-Mixed)_(n=1),Guam,6609.0
Brazil_Taquara-Itarare_Galheta_1250BP_(n=1),"Galheta IV, Laguna, Santa Catarina, Brazil",Belize_Mayahak_Cab_Pek_5500BP_(n=1),"Mayahak Cab Pek, Bladen Nature Reserve, Belize",6609.0
Chamorro_(European-Mixed)_(n=1),Guam,Maori_(European-Mixed)_(n=2),"Rotorua, New Zealand",6609.0
USA_Delaware_Early_Modern_Avery's_Rest_(Northwest_Euro_Profile)_(n=7),"Avery's Rest, Rehoboth Beach, Delaware, USA",Sweden_Early_Medieval_Viking_Age_Oland_(Continental_Northern_Euro_Profile)_(n=2),"Oland, Sweden",6601.0
USA_Maryland_Early-Late_Modern_Catoctin_Furnace_(West_African_Profile)_(n=8),"Catoctin Furnace, Maryland, USA",Manjak_Gambia_(n=45),"Banjul area, Gambia (Manjak community)",6572.0
Cuban_Blanco_(n=10),"Havana, Cuba",Spanish_Canarias_Tenerife_(Canarian)_(n=61),"Tenerife, Canary Islands, Spain",6534.0
