label,core
Awadhi_Brahmin_Saryupareen_(n=2),Awadhi_Brahmin_Saryupareen
Awadhi_Muslim_(n=2),Awadhi_Muslim
Aymara_Bolivia_(n=13),Aymara_Bolivia
Aymara_Bolivia_(Mestizo_Profile)_(n=16),Aymara_Bolivia
Aymara_Peru_(n=1),Aymara_Peru
Aymara_Peru_Titicaca_(n=11),Aymara_Peru_Titicaca
Azeri_Armenia_(n=2),Azeri_Armenia
Azeri_Azerbaijan_(n=6),Azeri_Azerbaijan
Azeri_Azerbaijan_Aghjabadi_(n=9),Azeri_Azerbaijan_Aghjabadi
Azeri_Azerbaijan_Aghstafa_(n=3),Azeri_Azerbaijan_Aghstafa
Azeri_Azerbaijan_Gabala_(n=21),Azeri_Azerbaijan_Gabala
Azeri_Azerbaijan_Karabakh_(n=6),Azeri_Azerbaijan_Karabakh
Azeri_Azerbaijan_Nakhchivan_(n=2),Azeri_Azerbaijan_Nakhchivan
Azeri_Azerbaijan_Qazax_(n=5),Azeri_Azerbaijan_Qazax
Azeri_Azerbaijan_Shaki_(n=8),Azeri_Azerbaijan_Shaki
Azeri_Azerbaijan_Shamkir_(n=4),Azeri_Azerbaijan_Shamkir
Azeri_Dagestan_(n=27),Azeri_Dagestan
Azeri_Georgia_(n=7),Azeri_Georgia
Azeri_Georgia_o_(n=1),Azeri_Georgia
Azeri_Iran_(n=12),Azeri_Iran
Azeri_Iran_Ardabil_(n=17),Azeri_Iran_Ardabil
Azeri_Iran_East_Azerbaijan_Tabriz_(n=6),Azeri_Iran_East_Azerbaijan_Tabriz
Azeri_Iran_Tehran_(n=9),Azeri_Iran_Tehran
Azeri_Iran_West_Azerbaijan_Maku_(n=2),Azeri_Iran_West_Azerbaijan_Maku
Azeri_Iran_Zanjan_(n=5),Azeri_Iran_Zanjan
Azeri_Turkey_Igdir_(n=7),Azeri_Turkey_Igdir
Azeri_Turkey_Kars_(n=11),Azeri_Turkey_Kars
Baggara_Chad_A_(n=12),Baggara_Chad_A
Baggara_Chad_B_(n=7),Baggara_Chad_B
Baggara_Chad_C_(n=6),Baggara_Chad_C
Baggara_Messiria_Sudan_(n=3),Baggara_Messiria_Sudan
Baggara_Messiria_Sudan_o1_(n=1),Baggara_Messiria_Sudan
Baggara_Messiria_Sudan_o2_(n=1),Baggara_Messiria_Sudan
Baggara_Sudan_(n=17),Baggara_Sudan
Baggara_Sudan_o1_(n=4),Baggara_Sudan
Baggara_Sudan_o2_(n=2),Baggara_Sudan
Bagvalal_(n=14),Bagvalal
Bagvalal_o_(n=2),Bagvalal
Bai_(n=15),Bai
Bai_Guizhou_Bijie_(n=50),Bai_Guizhou_Bijie
Baining_(n=21),Baining
Bajo_(n=3),Bajo
Baka_(n=2),Baka
Bakoko_(n=1),Bakoko
Bakola_(n=2),Bakola
Balinese_(n=19),Balinese
Balkar_(n=7),Balkar
Balochi_Iran_(n=5),Balochi_Iran
Balochi_Pakistan_(n=14),Balochi_Pakistan
Balti_(n=15),Balti
Balti_o_(n=1),Balti
Bamar_(n=117),Bamar
Bamar_o1_(n=5),Bamar
Bamar_o2_(n=5),Bamar
Bamar_o3_(n=2),Bamar
Bambara_Mali_(n=60),Bambara_Mali
Bangwa_(n=2),Bangwa
Bari_(n=4),Bari
Bashkir_(n=10),Bashkir
Bashkir_Baimaksky_(n=8),Bashkir_Baimaksky
Bashkir_Kugarchinsky_(n=7),Bashkir_Kugarchinsky
Bashkir_Miyakinsky_(n=6),Bashkir_Miyakinsky
Basque_France_(n=10),Basque_France
Basque_France_Labourd_(n=11),Basque_France_Labourd
Basque_France_Lower_Navarre_(n=11),Basque_France_Lower_Navarre
Basque_France_Soule_(n=11),Basque_France_Soule
Basque_Spain_(n=25),Basque_Spain
Basque_Spain_Alava_(n=12),Basque_Spain_Alava
Basque_Spain_Biscay_(n=11),Basque_Spain_Biscay
Basque_Spain_Gipuzkoa_Central_(n=11),Basque_Spain_Gipuzkoa_Central
Basque_Spain_Gipuzkoa_Southwest_(n=11),Basque_Spain_Gipuzkoa_Southwest
Basque_Spain_Gipuzkoa_Tolosa_(n=9),Basque_Spain_Gipuzkoa_Tolosa
Basque_Spain_Navarre_(n=1),Basque_Spain_Navarre
Basque_Spain_Navarre_Central-West_(n=11),Basque_Spain_Navarre_Central-West
Basque_Spain_Navarre_Northwest_(n=11),Basque_Spain_Navarre_Northwest
Basque_Spain_Navarre_Roncal_(n=11),Basque_Spain_Navarre_Roncal
Baster_(n=30),Baster
Batak_Palawan_(n=2),Batak_Palawan
Batak_Toba_(n=30),Batak_Toba
Bedik_(n=25),Bedik
Bedouin_Algeria_(n=3),Bedouin_Algeria
Bedouin_Jordan_(n=4),Bedouin_Jordan
Bedouin_Jordan_o_(n=2),Bedouin_Jordan
Bedouin_Libya_(n=6),Bedouin_Libya
Bedouin_Negev_(Arabian_Profile)_(n=18),Bedouin_Negev
Bedouin_Negev_(Arabian/Egyptian-Mixed_Profile)_(n=9),Bedouin_Negev
Bedouin_Sudan_Rashaida_(n=20),Bedouin_Sudan_Rashaida
Bedouin_Syria_(n=21),Bedouin_Syria
Bedzan_(n=2),Bedzan
Beja_Beni-Amer_(n=14),Beja_Beni-Amer
Beja_Hadendowa_(n=7),Beja_Hadendowa
Beja_Hadendowa_o1_(n=1),Beja_Hadendowa
Beja_Hadendowa_o2_(n=1),Beja_Hadendowa
Belarusian_(n=23),Belarusian
Belgian_(n=311),Belgian
Bengali_(n=27),Bengali
Bengali_Bangladesh_(n=89),Bengali_Bangladesh
Bengali_Bangladesh_Brahmanbaria_(n=4),Bengali_Bangladesh_Brahmanbaria
Bengali_Bangladesh_o1_(n=5),Bengali_Bangladesh
Bengali_Bangladesh_o2_(n=1),Bengali_Bangladesh
Bengali_Bangladesh_Southeast_(n=7),Bengali_Bangladesh_Southeast
Bengali_Bangladesh_Sylhet_(n=22),Bengali_Bangladesh_Sylhet
Bengali_Brahmin_West_Bengal_(n=21),Bengali_Brahmin_West_Bengal
Bengali_India_(n=1),Bengali_India
Berber_Algeria_Gourara_Timimoun_(n=6),Berber_Algeria_Gourara_Timimoun
Berber_Algeria_Gourara_Timimoun_(Intermediate_Hartani_Profile)_(n=11),Berber_Algeria_Gourara_Timimoun
Berber_Algeria_Gourara_Timimoun_(SSA_Profile)_(n=3),Berber_Algeria_Gourara_Timimoun
Berber_Algeria_Kabyle_(n=24),Berber_Algeria_Kabyle
Berber_Algeria_Mozabite_(n=23),Berber_Algeria_Mozabite
Berber_Algeria_Shawiya_(n=4),Berber_Algeria_Shawiya
Berber_Algeria_Tuareg_(n=1),Berber_Algeria_Tuareg
Berber_Egypt_Hawwara_(n=3),Berber_Egypt_Hawwara
Berber_Mali_Tuareg_(n=3),Berber_Mali_Tuareg
Berber_Morocco_Central_Atlas_Tamazight_(n=7),Berber_Morocco_Central_Atlas_Tamazight
Berber_Morocco_Central_Atlas_Tamazight_Errachidia_(n=13),Berber_Morocco_Central_Atlas_Tamazight_Errachidia
