label,core
Anatolia_Early-High_Medieval_Stratonikeia_(East_Med_Profile)_(n=1),Anatolia_Early-High_Medieval_Stratonikeia
Anatolia_Early-High_Medieval_Stratonikeia_(East_Med-Anatolian_Profile)_(n=8),Anatolia_Early-High_Medieval_Stratonikeia
Anatolia_EBA_Amasya_(n=5),Anatolia_EBA_Amasya
Anatolia_EBA_Arslantepe_(n=4),Anatolia_EBA_Arslantepe
Anatolia_EBA_Isparta_(n=3),Anatolia_EBA_Isparta
Anatolia_EBA_Izmir_Yassitepe_(n=2),Anatolia_EBA_Izmir_Yassitepe
Anatolia_EBA_Ovaoren_(n=3),Anatolia_EBA_Ovaoren
Anatolia_ECA_Buyukkaya_(n=1),Anatolia_ECA_Buyukkaya
Anatolia_Hellenistic-Roman_Empire_Gordion_(East_Med-Anatolian_Profile)_(n=1),Anatolia_Hellenistic-Roman_Empire_Gordion
Anatolia_Hellenistic-Roman_Republic_Ephesus_(Etruscan/Italic_Profile)_(n=1),Anatolia_Hellenistic-Roman_Republic_Ephesus
Anatolia_Hellenistic-Roman_Republic_Gordion_(Anatolian_BA_Profile)_(n=1),Anatolia_Hellenistic-Roman_Republic_Gordion
Anatolia_Hellenistic-Roman_Republic_Gordion_(East_Med-Anatolian_Profile)_(n=3),Anatolia_Hellenistic-Roman_Republic_Gordion
Anatolia_Hellenistic-Roman_Republic_Halicarnassus_(East_Med_Profile)_(n=2),Anatolia_Hellenistic-Roman_Republic_Halicarnassus
Anatolia_Hellenistic-Roman_Republic_Kaman-Kalehoyuk_(Galatian_Profile)_(low_res)_(n=1),Anatolia_Hellenistic-Roman_Republic_Kaman-Kalehoyuk
Anatolia_Hellenistic-Roman_Republic_Samsun_(East_Med-Anatolian_Profile)_(n=1),Anatolia_Hellenistic-Roman_Republic_Samsun
Anatolia_Hellenistic-Roman_Republic_Samsun_(Transcaucasian_Profile)_(n=1),Anatolia_Hellenistic-Roman_Republic_Samsun
Anatolia_High_Medieval_Stratonikeia_(East_Med-Anatolian_Profile)_(n=2),Anatolia_High_Medieval_Stratonikeia
Anatolia_High_Medieval-Late_Modern_Bogazkoy_(Pontic_Profile)_(n=1),Anatolia_High_Medieval-Late_Modern_Bogazkoy
Anatolia_IA_Gordion_(Anatolian_BA_Profile)_(n=1),Anatolia_IA_Gordion
Anatolia_IA_Gordion_(East_Med-Anatolian_Profile)_(n=1),Anatolia_IA_Gordion
Anatolia_Late_Antiquity_(Roman_Empire-Byzantine)_Nicaea_(East_Med-Anatolian_Profile)_(n=1),Anatolia_Late_Antiquity_(Roman_Empire-Byzantine)_Nicaea
Anatolia_Late_Antiquity_(Roman_Empire-Byzantine)_Nicaea_(North_African_Profile)_(n=2),Anatolia_Late_Antiquity_(Roman_Empire-Byzantine)_Nicaea
